horse_id	race_id	日付	開催	天気	R	レース名	枠番	馬番	オッズ	人気	騎手	斤量	距離	馬場	馬体重	着順	前走着順	前々走着順	pred	馬名
2022103246	202406050805	2024/12/22	中山	晴	5.0	2歳新馬	1.0	1	29.4	7.0	津村明秀	55.0	ダ1200	良	464(0)	11			0.0214453889342325	アイドルフェスタ
2022102607	202406050805	2024/12/22	中山	晴	5.0	2歳新馬	2.0	3	227.5	15.0	佐藤翔馬	52.0	ダ1200	良	430(0)	12			0.0058687254140974	ジーティーウララ
2022104948	202406050805	2024/12/22	中山	晴	5.0	2歳新馬	2.0	4	15.5	5.0	長浜鴻緒	52.0	ダ1200	良	480(0)	7			0.0475238610725156	マイベストダンサー
2022101188	202406050805	2024/12/22	中山	晴	5.0	2歳新馬	3.0	5	19.1	6.0	木幡育也	56.0	ダ1200	良	502(0)	5			0.0386572833016082	アラスカフレイバー
2022102834	202406050805	2024/12/22	中山	晴	5.0	2歳新馬	3.0	6	76.5	11.0	丸田恭介	55.0	ダ1200	良	494(0)	3			0.0106845320072978	キャラメリー
2022106122	202406050805	2024/12/22	中山	晴	5.0	2歳新馬	4.0	7	59.1	10.0	内田博幸	55.0	ダ1200	良	440(0)	13			0.0158183992651609	タルトポワール
2022107072	202406050805	2024/12/22	中山	晴	5.0	2歳新馬	4.0	8	12.9	3.0	横山和生	55.0	ダ1200	良	476(0)	14			0.0810625285739368	グレーデール
2022109021	202406050805	2024/12/22	中山	晴	5.0	2歳新馬	5.0	9	195.8	14.0	丸山元気	55.0	ダ1200	良	408(0)	15			0.0058687254140974	アラワレワタル
2022102315	202406050805	2024/12/22	中山	晴	5.0	2歳新馬	5.0	10	1.5	1.0	ルメール	55.0	ダ1200	良	482(0)	1			0.4732577511895946	シュヴァルボヌール
2022100157	202406050805	2024/12/22	中山	晴	5.0	2歳新馬	6.0	11	47.1	9.0	小林脩斗	53.0	ダ1200	良	440(0)	10			0.017686847180792	アジアート
2022101075	202406050805	2024/12/22	中山	晴	5.0	2歳新馬	6.0	12	98.3	12.0	松岡正海	55.0	ダ1200	良	444(0)	4			0.0103142110178399	ラヴィーズドリーム
2022103566	202406050805	2024/12/22	中山	晴	5.0	2歳新馬	7.0	13	32.2	8.0	戸崎圭太	56.0	ダ1200	良	452(0)	9			0.0208457859193554	フィアマドラータ
2022101289	202406050805	2024/12/22	中山	晴	5.0	2歳新馬	7.0	14	168.2	13.0	武藤雅	55.0	ダ1200	良	426(0)	8			0.0072587416161801	マリノライヤ
2022100378	202406050805	2024/12/22	中山	晴	5.0	2歳新馬	8.0	15	5.6	2.0	小林美駒	51.0	ダ1200	良	418(0)	6			0.1526710697731337	ネバーランドリーム
2022101484	202406050805	2024/12/22	中山	晴	5.0	2歳新馬	8.0	16	13.7	4.0	横山武史	56.0	ダ1200	良	462(0)	2			0.0718211516337798	ダノンメナージュ
2022101259	202406050806	2024/12/22	中山	晴	6.0	2歳新馬	1.0	1	23.7	6.0	戸崎圭太	55.0	芝1600	良	424(0)	2			0.0386093175853158	ショウナンマリーナ
2022106213	202406050806	2024/12/22	中山	晴	6.0	2歳新馬	2.0	2	5.8	3.0	三浦皇成	55.0	芝1600	良	444(0)	3			0.1308389870099589	ウインキララ
2022102452	202406050806	2024/12/22	中山	晴	6.0	2歳新馬	2.0	3	206.8	13.0	野中悠太	56.0	芝1600	良	472(0)	12			0.0058687254140974	ココリハクタク
2022100628	202406050806	2024/12/22	中山	晴	6.0	2歳新馬	3.0	4	51.2	8.0	横山武史	55.0	芝1600	良	430(0)	8			0.017686847180792	ロイヤルキャピタル
2022107182	202406050806	2024/12/22	中山	晴	6.0	2歳新馬	3.0	5	2.1	1.0	ムーア	56.0	芝1600	良	502(0)	1			0.3246062725678465	ディオデルマーレ
2022101030	202406050806	2024/12/22	中山	晴	6.0	2歳新馬	4.0	6	226.5	15.0	黛弘人	55.0	芝1600	良	444(0)	14			0.0058687254140974	ウーレンハウト
2022102480	202406050806	2024/12/22	中山	晴	6.0	2歳新馬	4.0	7	128.6	12.0	原田和真	56.0	芝1600	良	472(0)	11			0.0080876315562518	マサユメ
