index	bet_type	win_umaban	return
561	馬単	['9', '5']	1050
562	三連複	['5', '9', '10']	1310
563	三連単	['9', '5', '10']	4480
564	単勝	['11']	660
565	複勝	['11']	210
565	複勝	['9']	350
565	複勝	['10']	200
567	馬連	['9', '11']	3710
568	ワイド	['9', '11']	1310
568	ワイド	['10', '11']	780
568	ワイド	['9', '10']	1300
569	馬単	['11', '9']	7220
570	三連複	['9', '10', '11']	6840
571	三連単	['11', '9', '10']	47110
572	単勝	['5']	190
573	複勝	['5']	110
573	複勝	['10']	210
573	複勝	['9']	120
575	馬連	['5', '10']	890
576	ワイド	['5', '10']	380
576	ワイド	['5', '9']	160
576	ワイド	['9', '10']	550
577	馬単	['5', '10']	1590
578	三連複	['5', '9', '10']	960
579	三連単	['5', '10', '9']	5000
580	単勝	['9']	6040
581	複勝	['9']	1460
581	複勝	['12']	420
581	複勝	['1']	240
583	馬連	['9', '12']	26680
584	ワイド	['9', '12']	7290
584	ワイド	['1', '9']	3400
584	ワイド	['1', '12']	1480
585	馬単	['9', '12']	74430
586	三連複	['1', '9', '12']	44300
587	三連単	['9', '12', '1']	296410
588	単勝	['8']	250
589	複勝	['8']	130
589	複勝	['2']	230
589	複勝	['16']	150
591	馬連	['2', '8']	1530
592	ワイド	['2', '8']	530
592	ワイド	['8', '16']	250
592	ワイド	['2', '16']	720
593	馬単	['8', '2']	2360
594	三連複	['2', '8', '16']	1650
595	三連単	['8', '2', '16']	10240
596	単勝	['1']	160
597	複勝	['1']	110
597	複勝	['6']	160
597	複勝	['8']	150
599	馬連	['1', '6']	760
600	ワイド	['1', '6']	310
600	ワイド	['1', '8']	290
600	ワイド	['6', '8']	580
601	馬単	['1', '6']	1100
602	三連複	['1', '6', '8']	1470
603	三連単	['1', '6', '8']	4350
604	単勝	['5']	130
605	複勝	['5']	110
605	複勝	['6']	400
606	馬連	['5', '6']	1170
607	ワイド	['5', '6']	370
607	ワイド	['5', '7']	180
607	ワイド	['6', '7']	800
608	馬単	['5', '6']	1440
609	三連複	['5', '6', '7']	1470
610	三連単	['5', '6', '7']	4800
611	単勝	['8']	640
612	複勝	['8']	200
612	複勝	['2']	150
612	複勝	['4']	250
614	馬連	['2', '8']	1380
615	ワイド	['2', '8']	520
615	ワイド	['4', '8']	1220
615	ワイド	['2', '4']	580
616	馬単	['8', '2']	3230
617	三連複	['2', '4', '8']	3730
618	三連単	['8', '2', '4']	21500
619	単勝	['4']	690
620	複勝	['4']	280
620	複勝	['1']	430
620	複勝	['13']	360
622	馬連	['1', '4']	3580
623	ワイド	['1', '4']	1290
623	ワイド	['4', '13']	2390
623	ワイド	['1', '13']	3290
624	馬単	['4', '1']	6440
625	三連複	['1', '4', '13']	20770
626	三連単	['4', '1', '13']	90440
627	単勝	['9']	650
