	race_id	0	1	2	3
3	202507010709	馬連	10 - 11	1310	7
0	202507010709	ワイド	10 - 11 7 - 10 7 - 11	430 520 590	4 7 8
1	202507010709	馬単	10 → 11	1820	6
2	202507010709	三連複	7 - 10 - 11	2260	8
3	202507010709	三連単	10 → 11 → 7	8170	20
0	202405030812	単勝	10	1170	5
1	202405030812	複勝	10 12 1	320 300 580	5 4 10
2	202405030812	枠連	5 - 6	2590	12
3	202405030812	馬連	10 - 12	4730	20
0	202405030812	ワイド	10 - 12 1 - 10 1 - 12	1,460 3,830 3,430	19 44 40
1	202405030812	馬単	10 → 12	10740	49
2	202405030812	三連複	1 - 10 - 12	42120	139
3	202405030812	三連単	10 → 12 → 1	259960	805
0	202408070212	単勝	6	3460	10
1	202408070212	複勝	6 5 4	570 490 150	9 8 1
2	202408070212	枠連	5 - 5	26070	31
3	202408070212	馬連	5 - 6	29710	48
0	202408070212	ワイド	5 - 6 4 - 6 4 - 5	5,310 990 920	47 11 10
1	202408070212	馬単	6 → 5	65290	97
2	202408070212	三連複	4 - 5 - 6	15590	56
3	202408070212	三連単	6 → 5 → 4	199900	498
0	202506010408	単勝	2	240	1
1	202506010408	複勝	2 5 11	140 180 530	1 2 9
2	202506010408	枠連	1 - 3	660	2
3	202506010408	馬連	2 - 5	740	1
0	202506010408	ワイド	2 - 5 2 - 11 5 - 11	380 1,150 2,930	1 14 35
1	202506010408	馬単	2 → 5	1130	2
2	202506010408	三連複	2 - 5 - 11	8140	25
3	202506010408	三連単	2 → 5 → 11	20360	41
0	202401020106	単勝	1	210	1
1	202401020106	複勝	1 14 9	120 310 1,860	1 5 12
2	202401020106	枠連	1 - 7	870	4
3	202401020106	馬連	1 - 14	1190	4
0	202401020106	ワイド	1 - 14 1 - 9 9 - 14	680 4,610 17,760	6 37 67
1	202401020106	馬単	1 → 14	1810	5
2	202401020106	三連複	1 - 9 - 14	40370	91
3	202401020106	三連単	1 → 14 → 9	116560	283
0	202405040305	単勝	10	1010	6
1	202405040305	複勝	10 14 15	320 210 270	6 2 5
2	202405040305	枠連	6 - 8	810	3
3	202405040305	馬連	10 - 14	2610	10
0	202405040305	ワイド	10 - 14 10 - 15 14 - 15	870 1,350 900	7 18 9
1	202405040305	馬単	10 → 14	5330	22
2	202405040305	三連複	10 - 14 - 15	6800	22
3	202405040305	三連単	10 → 14 → 15	40530	132
0	202406010704	単勝	11	330	1
1	202406010704	複勝	11 1 12	150 170 250	1 3 5
2	202406010704	枠連	1 - 6	670	1
3	202406010704	馬連	1 - 11	770	1
0	202406010704	ワイド	1 - 11 11 - 12 1 - 12	370 680 1,070	1 6 12
1	202406010704	馬単	11 → 1	1260	1
2	202406010704	三連複	1 - 11 - 12	3650	7
3	202406010704	三連単	11 → 1 → 12	14280	28
0	202406010710	単勝	10	1230	6
1	202406010710	複勝	10 4 14	480 950 360	7 11 5
2	202406010710	枠連	2 - 5	1120	4
3	202406010710	馬連	4 - 10	25410	62
0	202406010710	ワイド	4 - 10 10 - 14 4 - 14	7,720 2,100 6,820	72 23 69
1	202406010710	馬単	10 → 4	46100	119
2	202406010710	三連複	4 - 10 - 14	92500	238
3	202406010710	三連単	10 → 4 → 14	498620	1250
0	202405040311	単勝	6	770	6
1	202405040311	複勝	6 8 4	300 650 2,180	5 9 14
2	202405040311	枠連	3 - 4	1030	3
3	202405040311	馬連	6 - 8	11070	38
0	202405040311	ワイド	6 - 8 4 - 6 4 - 8	2,860 9,100 17,280	34 73 90
1	202405040311	馬単	6 → 8	17070	62
2	202405040311	三連複	4 - 6 - 8	197990	304
3	202405040311	三連単	6 → 8 → 4	866470	1555
0	202405050102	単勝	8	360	2
1	202405050102	複勝	8 3 1	130 110 160	2 1 4
2	202405050102	枠連	3 - 7	280	1
3	202405050102	馬連	3 - 8	280	1
0	202405050102	ワイド	3 - 8 1 - 8 1 - 3	170 540 260	1 8 3
1	202405050102	馬単	8 → 3	730	2
2	202405050102	三連複	1 - 3 - 8	760	3
3	202405050102	三連単	8 → 3 → 1	3870	14
0	202401020112	単勝	12	340	2
1	202401020112	複勝	12 13 14	150 270 430	1 4 7
